Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
........Communications,0.872957694,0.873649598,0.870989264,0.8693892,0.865479517,0.863861999,0.863028576,0.861629245,0.861825229,0.864350301,0.866821529,0.869566444,0.872995065,0.880416434,0.878623591,0.883620849,0.886063668,0.885927642,0.876589113,0.883398937,0.882607998,0.886131222,0.889254582,0.890443953,0.89246411,0.894577629,0.89737738,0.89968717,0.90017131,0.891446443,0.896301508,0.896205809
"........Electric,..gas,..and..sanitary..services",0.809002889,0.811575764,0.811831502,0.809276407,0.806490428,0.807883737,0.80098204,0.802011507,0.802534536,0.805992746,0.80466909,0.808468176,0.809111346,0.821661397,0.81098683,0.826768064,0.830350499,0.833385428,0.83465746,0.82941154,0.831518423,0.831810203,0.822391432,0.814593367,0.826007139,0.827668323,0.827686242,0.827300886,0.826869358,0.80028209,0.805296921,0.815268684
......Wholesale..trade,0.89685094,0.895818459,0.894142412,0.891894329,0.891636635,0.887382722,0.867480638,0.866547088,0.869443713,0.868826739,0.868712744,0.870958495,0.872664706,0.875420519,0.877367715,0.879747803,0.883182994,0.885699882,0.885792467,0.886788571,0.88549282,0.884011827,0.881936787,0.88142649,0.879169724,0.877731588,0.877475471,0.877655344,0.877325141,0.874588826,0.878199907,0.879422287
......Retail..trade,0.799883766,0.800301021,0.797955585,0.797326184,0.794628439,0.792985619,0.797177178,0.793964249,0.795272697,0.795443982,0.795899647,0.801606492,0.803025423,0.805034886,0.806506375,0.808390533,0.810418628,0.812504635,0.81548528,0.816053956,0.816949221,0.815726787,0.812411305,0.811258886,0.80856251,0.808142391,0.809035396,0.809372675,0.808117538,0.809930113,0.812553807,0.816619852
........Building..materials..and..garden..equipment,0.696206793,0.699418518,0.698114992,0.700452141,0.695005362,0.688540857,0.71681922,0.717472933,0.718006485,0.72199913,0.724962221,0.731070671,0.73401266,0.730840955,0.745713266,0.743587287,0.751137478,0.758510831,0.766547129,0.77306216,0.775128401,0.779071821,0.77344441,0.766836285,0.76333157,0.763674676,0.759848842,0.759793416,0.759690906,0.744895679,0.74467971,0.74959442
........General..merchandise..stores,0.865317547,0.863656005,0.862257352,0.859592371,0.85784736,0.852645646,0.859570269,0.858406973,0.85959752,0.858488235,0.853646013,0.855038596,0.852601904,0.848092268,0.849705752,0.848176915,0.85002484,0.846510947,0.848540843,0.843905749,0.83803617,0.832436357,0.837868714,0.825000606,0.825274881,0.821835425,0.81211618,0.81141142,0.808747686,0.776084531,0.770608026,0.767948536
........Food..stores,0.799318502,0.801021352,0.799030092,0.799146687,0.795505037,0.794699357,0.789406328,0.783890893,0.784042188,0.779754068,0.781535962,0.784366048,0.784589324,0.783781824,0.78441451,0.782780279,0.784798608,0.788258594,0.789664894,0.789856731,0.789565552,0.786285737,0.784208045,0.783098579,0.782238509,0.780302543,0.781213099,0.781776231,0.780672891,0.775997903,0.779920103,0.782535832
........Automotive..dealers..and..service..stations,0.762296491,0.7612405,0.760928015,0.760865293,0.758486952,0.75192849,0.753268339,0.751473882,0.755406272,0.758224785,0.755773078,0.762616852,0.768042222,0.769727022,0.7739083,0.781941341,0.783786468,0.790272009,0.790295343,0.78937202,0.790917786,0.788548528,0.782191172,0.783272346,0.780887068,0.78096431,0.78092775,0.781109056,0.780120367,0.776623524,0.77993114,0.783540891
........Apparel..and..accessory..stores,0.865236729,0.864711549,0.860908576,0.854592851,0.85064993,0.852396088,0.844431283,0.844350197,0.839883498,0.838527445,0.843822428,0.850181992,0.853515125,0.854610424,0.848812917,0.848321695,0.856295737,0.865595629,0.873099086,0.879125863,0.886433998,0.885049209,0.878568738,0.886227886,0.885307502,0.885979791,0.886966342,0.88922835,0.890137252,0.868683406,0.871492613,0.877765104
........Home..furniture..and..furnishings..stores,0.814844531,0.814541535,0.811718996,0.809878789,0.80759268,0.811701995,0.803684118,0.796388526,0.802478792,0.806728541,0.813948358,0.819995997,0.823577341,0.821978983,0.816649345,0.830489105,0.832468112,0.831220825,0.840160741,0.848634301,0.847970465,0.845978868,0.853737067,0.863787193,0.859205011,0.860491894,0.85844103,0.858957321,0.859682865,0.84330868,0.845447196,0.850807348
........Eating..and..drinking..places,0.834490802,0.833096108,0.829457715,0.827599688,0.825310469,0.828401739,0.824295496,0.821214558,0.820513485,0.821526123,0.823147327,0.826625807,0.828218465,0.829062648,0.829922431,0.833856969,0.832293064,0.83410245,0.833942609,0.83375582,0.836252245,0.833863396,0.827616956,0.82455287,0.822553874,0.821029882,0.821959557,0.823970176,0.823011837,0.823778788,0.826324679,0.830217495
